Date,Open,High,Low,Close
19-May-11,12128.07,12165.8,12001.82,12034.94
20-May-11,12044.27,12218.25,12017.6,12158.61
23-May-11,12115.16,12115.16,11782.65,11812.6
24-May-11,11819.95,11990.13,11805.24,11880.02
25-May-11,11889.51,11889.51,11789.36,11805.07
26-May-11,11854.23,11960.44,11834.85,11927.14
27-May-11,11955.37,12234.68,11955.37,12220.36
30-May-11,12227.98,12342.5,12225.36,12281.64
31-May-11,12326.19,12564.64,12326.19,12543
01-Jun-11,12533.91,12604.47,12492.21,12570.3
02-Jun-11,12421.48,12421.48,12337.07,12378.69
03-Jun-11,12390.47,12494.37,12276.47,12309.28
06-Jun-11,12294.29,12397.71,12198.59,12376.69
07-Jun-11,12340.29,12456.06,12332.19,12411.39
08-Jun-11,12389.01,12423.5,12300.5,12322.86
09-Jun-11,12318.02,12393.61,12259.99,12305.68
10-Jun-11,12331.18,12349.64,12140.06,12225.91
13-Jun-11,12206,12270.31,12116.92,12236.88
14-Jun-11,12259.1,12371.66,12259.1,12338.73
15-Jun-11,12336.87,12336.87,12123.81,12143.23
16-Jun-11,12081.1,12223.61,12017.28,12076.68
17-Jun-11,12116.61,12139.09,12043.18,12091.58
20-Jun-11,12137.22,12137.22,11777.88,11969.4
21-Jun-11,11991.56,12146.77,11913.02,11945.98
22-Jun-11,11999.36,12037.37,11910.59,11953.15
23-Jun-11,11934.54,12031.57,11887.86,12002.81
24-Jun-11,12032.26,12410.84,12032.26,12393.34
27-Jun-11,12334.92,12623.16,12321.23,12593.34
28-Jun-11,12627.94,12696.99,12543.16,12621.28
29-Jun-11,12663.78,12758.45,12663.78,12742.28
30-Jun-11,12763.15,12857.88,12734.92,12821.05
01-Jul-11,12914.93,12923.17,12777.74,12853.67
04-Jul-11,12939.19,13010.39,12931.61,12993.55
05-Jul-11,12993.61,13064.45,12916.11,13036.43
06-Jul-11,13016.22,13041.82,12883.67,12915.38
07-Jul-11,12934.02,13084.52,12861.09,13065.8
08-Jul-11,13085.05,13110.09,12906.86,12920.4
11-Jul-11,12899.34,12899.34,12718.89,12741.27
12-Jul-11,12641.59,12736.39,12522.75,12608.4
13-Jul-11,12647.89,12774.27,12647.89,12746.35
14-Jul-11,12739.41,13020.54,12675.28,12879.34
15-Jul-11,12910.58,13465.21,12699.61,12846.94
18-Jul-11,12849.75,12909.29,12787.36,12845.21
19-Jul-11,12857.68,12978.02,12831.91,12936.31
20-Jul-11,13009.54,13027.37,12742.69,12763.34
21-Jul-11,12784.01,12800.97,12611.47,12638.08
22-Jul-11,12703.77,12923.47,12703.77,12908.66
25-Jul-11,12895.4,13054.8,12847.12,13014.02
26-Jul-11,13018.94,13056.94,12648.99,12694.05
27-Jul-11,12715.85,12715.85,12522.36,12562.56
28-Jul-11,12472.85,12513.54,12360.01,12382.41
29-Jul-11,12381.47,12520.9,12303.3,12447.83
01-Aug-11,12553.13,12635.59,12425.12,12482.84
02-Aug-11,12463.81,12463.81,12242.21,12268.95
03-Aug-11,12188.51,12211.16,12048.77,12162.74
04-Aug-11,12220.62,12301.22,12009.06,12034.8
05-Aug-11,11843.5,11867,11614.67,11833.22
08-Aug-11,11621.55,11982.25,11514.42,11711.81
09-Aug-11,11436.15,11904.49,11362.05,11675.18
10-Aug-11,11903.86,11982.75,11881.05,11953.78
11-Aug-11,11921.45,12020.89,11811.03,11829.54
12-Aug-11,11954.99,11954.99,11593.08,11636.74
16-Aug-11,11786.86,11786.86,11465.46,11497.29
17-Aug-11,11519.81,11629.04,11301.81,11370.49
18-Aug-11,11401.44,11403.25,10933.25,10971.66
19-Aug-11,10853.44,10964.39,10625.65,10763.34
22-Aug-11,10781.82,10816.7,10549.1,10748.66
23-Aug-11,10843.76,10877.84,10634.55,10835.44
24-Aug-11,10835.21,10939.81,10615.07,10657.92
25-Aug-11,10691.67,10757.35,10468.06,10508.25
26-Aug-11,10509.34,10533.28,10196.9,10245.51
29-Aug-11,10381.81,10702.28,10381.81,10665.21
30-Aug-11,10813.61,10939.98,10698.83,10904.24
02-Sep-11,11057.31,11057.31,10863.54,10949.68
05-Sep-11,10886.38,11023.56,10812.97,10990.33
06-Sep-11,10959.18,11085.61,10732.74,11049.07
07-Sep-11,11077.01,11329.1,11077.01,11283.03
08-Sep-11,11307.05,11400.33,11170.48,11364.97
09-Sep-11,11386.96,11429.81,11062.74,11097.84
