Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
15-November-2012,765.00,768.00,758.60,763.10,763.199176872780377709,30129,1332,22994428.00,7288,24.19,9.40,-1.90
13-November-2012,772.00,779.45,766.05,767.45,769.069190794357832219,13470,499,10359362.00,6615,49.11,13.40,-4.55
12-November-2012,770.00,776.40,765.00,772.05,770.816995937226161077,50212,2129,38704263.00,7111,14.16,11.40,2.05
9-November-2012,777.95,785.95,763.00,770.35,773.031461320799961632,62553,2875,48355437.00,12215,19.53,22.95,-7.60
8-November-2012,775.00,782.70,762.05,778.20,776.742165387459520106,78434,4000,60922995.00,10805,13.78,20.65,3.20
7-November-2012,761.00,783.05,753.05,777.00,773.677049315294053075,109317,4434,84576054.00,35589,32.56,30.00,16.00
6-November-2012,749.25,763.00,748.65,757.15,757.540310575817037688,59116,2285,44782753.00,11261,19.05,14.35,7.90
5-November-2012,756.20,759.00,750.60,755.35,754.958330003995205753,50060,1838,37793214.00,17097,34.15,8.40,-0.85
2-November-2012,755.00,762.40,749.00,755.80,754.383227793572843973,92856,3998,70049009.00,19044,20.51,13.40,0.80
1-November-2012,735.00,753.50,733.30,751.95,746.771982263097388733,91335,3823,68206419.00,19815,21.69,20.20,16.95
31-October-2012,726.00,742.75,716.60,739.15,732.139566534554234431,175608,6255,128569565.00,39794,22.66,26.15,13.15
30-October-2012,754.00,769.10,725.00,729.75,739.476464783477402774,286783,10786,212069279.00,77083,26.88,44.10,-24.25
29-October-2012,754.00,763.00,744.00,757.00,755.185010390421021382,131371,6529,99209410.00,24662,18.77,19.00,3.00
26-October-2012,797.00,801.95,744.40,749.05,761.170646631342159472,601471,25631,457822070.00,129342,21.50,57.55,-47.95
25-October-2012,818.00,823.00,798.50,804.35,805.796963902891245147,86295,3212,69536249.00,34473,39.95,24.50,-13.65
23-October-2012,820.05,827.95,816.50,818.40,821.084596416241985862,30415,1224,24973288.00,8588,28.24,11.45,-1.65
22-October-2012,818.00,825.50,813.00,819.75,819.124950179354324432,50180,2024,41103690.00,9400,18.73,12.50,1.75
19-October-2012,833.00,835.85,819.00,822.15,827.273527784107555584,61438,2433,50826031.00,10091,16.42,16.85,-10.85
18-October-2012,815.00,834.20,812.10,831.55,826.420038806198779647,78338,3322,64740093.00,23141,29.54,22.10,16.55
17-October-2012,824.00,824.00,808.45,813.60,815.309112417958663678,87913,2875,71676270.00,28045,31.90,15.55,-10.40
16-October-2012,822.00,828.25,802.00,805.10,814.986908379912014111,47053,1999,38347579.00,13095,27.83,26.25,-16.90
15-October-2012,820.00,825.80,810.20,820.10,818.647764269524005769,48530,2111,39728976.00,5008,10.32,15.60,0.10
12-October-2012,827.00,838.45,818.00,821.15,829.904999448559042359,117873,4412,97823392.00,59867,50.79,20.45,-5.85
11-October-2012,800.10,825.00,790.50,821.50,809.434119491772008664,123724,5217,100146427.00,56621,45.76,34.50,21.40
10-October-2012,788.95,802.80,786.00,797.15,796.654989368279772586,132622,4509,105653978.00,45879,34.59,16.80,8.20
9-October-2012,800.00,809.30,788.20,792.00,796.326286076386888645,104154,4200,82940568.00,29731,28.55,21.10,-8.00
8-October-2012,823.00,823.00,794.20,796.90,802.918422792570775981,83185,4837,66790769.00,36256,43.58,28.80,-26.10
5-October-2012,840.00,842.00,805.00,819.40,821.525663716814159292,122040,4602,100258992.00,23432,19.20,37.00,-20.60
4-October-2012,831.00,840.00,830.00,832.15,834.962261138020971948,75148,2884,62745744.00,21226,28.25,10.00,1.15
3-October-2012,831.00,840.95,825.00,828.40,830.895663198291320685,87553,2914,72747408.00,44601,50.94,15.95,-2.60
1-October-2012,837.00,843.70,829.25,833.00,834.910252960172228202,74320,2408,62050530.00,28970,38.98,14.45,-4.00
28-September-2012,840.00,850.00,838.00,839.70,844.297512478298611111,73728,2896,62248367.00,22014,29.86,12.00,-0.30
27-September-2012,840.00,841.80,823.00,833.70,834.938434771504732717,125298,4993,104616116.00,39003,31.13,18.80,-6.30
26-September-2012,817.55,834.70,813.85,833.25,824.789061467026514120,128573,5208,106045604.00,35361,27.50,20.85,15.70
25-September-2012,828.00,844.00,809.25,823.35,823.715223693647282240,197994,7023,163090672.00,34337,17.34,34.75,-4.65
24-September-2012,845.00,858.00,819.00,821.85,840.062041610093619746,168661,6498,141685704.00,35739,21.19,39.00,-23.15
21-September-2012,798.40,842.00,798.40,837.45,824.458583222992444894,205424,7783,169363580.00,71290,34.70,43.60,39.05
20-September-2012,800.00,818.00,775.25,795.90,801.572099789813792782,236457,9661,189537334.00,30209,12.78,42.75,-4.10
18-September-2012,749.00,810.00,748.05,803.15,787.357696295869577740,277744,11300,218683876.00,105218,37.88,61.95,54.15
17-September-2012,720.00,760.00,717.00,748.85,737.974922436202029236,178885,7435,132012644.00,51241,28.64,43.00,28.85
