Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-May-2011,2325.00,2400.00,2315.10,2388.30,2362.448046357615894039,60400,3592,142691862.00,15016,24.86,84.90,63.30
30-May-2011,2307.10,2327.90,2299.40,2308.30,2310.101399534759562216,26223,1332,60577789.00,8595,32.78,28.50,1.20
27-May-2011,2270.10,2306.50,2259.00,2298.15,2291.200384099720984164,27597,1843,63230257.00,7315,26.51,47.50,28.05
26-May-2011,2253.00,2276.40,2239.10,2266.65,2261.321303029489897228,37267,2259,84272661.00,6848,18.38,37.30,13.65
25-May-2011,2256.00,2266.00,2243.95,2252.65,2255.662203005625052472,23822,1572,53734385.00,4689,19.68,22.05,-3.35
24-May-2011,2259.00,2291.00,2251.00,2255.15,2265.209889962125456623,89242,2302,202151861.00,56183,62.96,40.00,-3.85
23-May-2011,2303.80,2303.80,2246.25,2264.30,2265.651321863197650020,47660,3139,107980942.00,17517,36.75,57.55,-39.50
20-May-2011,2268.00,2319.75,2259.80,2316.00,2299.346479267184112999,57204,3125,131531816.00,16943,29.62,59.95,48.00
19-May-2011,2270.00,2283.80,2259.00,2271.35,2274.844627647686921109,40271,2168,91610268.00,14488,35.98,24.80,1.35
18-May-2011,2260.00,2276.50,2241.75,2265.40,2263.193209319125880440,55370,2719,125313008.00,22767,41.12,34.75,5.40
17-May-2011,2254.00,2272.25,2241.00,2254.10,2255.694150923257551499,37476,2509,84534394.00,9740,25.99,31.25,0.10
16-May-2011,2254.00,2264.00,2233.00,2249.95,2250.614756197500512190,39048,2407,87882005.00,8271,21.18,31.00,-4.05
13-May-2011,2239.90,2290.00,2230.00,2254.45,2265.110051973400512925,44061,3109,99803014.00,12803,29.06,60.00,14.55
12-May-2011,2255.00,2264.90,2227.70,2239.90,2243.641187665133122701,108246,3121,242865184.00,73199,67.62,37.20,-15.10
11-May-2011,2251.00,2266.30,2222.60,2254.60,2246.716782323640853165,46978,3031,105546261.00,10801,22.99,43.70,3.60
10-May-2011,2260.00,2277.00,2221.00,2246.75,2251.082067819798690511,51165,3825,115176614.00,8773,17.15,56.00,-13.25
9-May-2011,2320.00,2320.00,2246.90,2280.25,2278.160230963551064597,38794,2475,88378948.00,5453,14.06,73.10,-39.75
6-May-2011,2230.00,2317.00,2230.00,2299.15,2275.609201655365365559,51469,3563,117123330.00,12387,24.07,87.00,69.15
5-May-2011,2269.00,2275.35,2211.00,2220.25,2225.464748022532076206,981179,3214,2183579276.00,780280,79.52,64.35,-48.75
4-May-2011,2250.00,2283.35,2210.00,2260.65,2257.501643993579854455,64173,3896,144870653.00,10978,17.11,73.35,10.65
3-May-2011,2293.00,2297.30,2227.00,2235.80,2257.829925197830628836,92377,4792,208571555.00,21098,22.84,70.30,-57.20
2-May-2011,2300.00,2313.85,2263.00,2290.70,2278.026991849101694191,46866,2378,106762013.00,16695,35.62,50.85,-9.30
29-April-2011,2325.00,2339.00,2281.30,2292.50,2297.986821816105082809,70040,4228,160950997.00,28327,40.44,57.70,-32.50
28-April-2011,2369.00,2370.20,2330.00,2338.85,2345.211906246751896892,38484,2191,90253135.00,12652,32.88,40.20,-30.15
27-April-2011,2378.50,2380.00,2328.50,2354.95,2354.378992206976424631,50943,2880,119939129.00,8584,16.85,51.50,-23.55
26-April-2011,2375.00,2392.00,2342.00,2360.00,2357.149853319762916841,50109,2952,118114422.00,11412,22.77,50.00,-15.00
25-April-2011,2410.10,2440.00,2382.20,2389.55,2403.012967755066437937,68786,3273,165293650.00,30026,43.65,57.80,-20.55
21-April-2011,2380.00,2415.85,2380.00,2403.80,2401.069982127054087351,230516,3607,553485048.00,175321,76.06,35.85,23.80
20-April-2011,2365.00,2388.00,2347.00,2371.60,2363.586597126549891753,142268,3928,336262738.00,72514,50.97,41.00,6.60
19-April-2011,2345.00,2360.00,2327.00,2348.05,2348.019078045800518434,121134,7077,284424943.00,16558,13.67,33.00,3.05
18-April-2011,2379.50,2398.95,2306.10,2315.70,2362.370704259808568545,163505,6014,386259422.00,71108,43.49,92.85,-63.80
15-April-2011,2370.00,2387.00,2342.25,2360.20,2363.415873791884472189,106364,4121,251382366.00,25584,24.05,44.75,-9.80
13-April-2011,2299.70,2383.90,2275.00,2372.05,2333.781935614428573837,59299,3154,138390935.00,12554,21.17,108.90,72.35
11-April-2011,2318.40,2333.60,2289.10,2296.30,2300.411039135159546692,70857,4318,163000225.00,28195,39.79,44.50,-22.10
8-April-2011,2357.00,2384.90,2347.00,2352.15,2362.088163087162887122,54989,2518,129888866.00,6871,12.50,37.90,-4.85
7-April-2011,2368.00,2378.25,2340.15,2354.90,2353.082904310088073862,47006,2872,110609015.00,16302,34.68,38.10,-13.10
6-April-2011,2389.75,2396.00,2351.30,2377.75,2373.050129824147291396,67784,2454,160854830.00,23943,35.32,44.70,-12.00
5-April-2011,2401.00,2410.00,2369.85,2391.60,2385.225649917830199666,77279,3027,184327853.00,23530,30.45,40.15,-9.40
4-April-2011,2316.00,2404.90,2316.00,2398.45,2385.688738237377314580,49415,3067,117888809.00,9451,19.13,88.90,82.45
1-April-2011,2346.10,2363.50,2325.00,2333.65,2334.592222105226211786,56982,3780,133029734.00,17843,31.31,38.50,-12.45
31-March-2011,2345.00,2390.00,2306.35,2342.95,2351.413404050144648023,82960,4700,195073256.00,17651,21.28,83.65,-2.05
30-March-2011,2310.00,2358.00,2310.00,2337.85,2337.896484935437589670,69700,3237,162951385.00,17807,25.55,48.00,27.85
29-March-2011,2300.00,2323.00,2288.00,2306.65,2310.433224444049587906,73163,2757,169038226.00,24499,33.49,35.00,6.65
28-March-2011,2262.00,2307.95,2262.00,2291.30,2292.004325106081071862,73293,3518,167987873.00,24467,33.38,45.95,29.30
25-March-2011,2199.00,2274.80,2197.00,2261.80,2242.924382825210440687,113096,4242,253665776.00,56128,49.63,77.80,62.80
24-March-2011,2181.00,2198.00,2168.55,2191.50,2182.345048309178743961,82800,1868,180698170.00,52213,63.06,29.45,10.50
23-March-2011,2152.00,2181.50,2148.55,2164.40,2167.298177184907819122,38457,1651,83347786.00,8242,21.43,32.95,12.40
22-March-2011,2164.00,2172.80,2142.00,2151.55,2156.579406986190089358,39392,1967,84951976.00,6824,17.32,30.80,-12.45
21-March-2011,2181.00,2181.00,2146.25,2154.35,2160.001808283477290652,51983,2041,112283374.00,17022,32.75,34.75,-26.65
18-March-2011,2199.90,2199.90,2149.20,2153.20,2163.357351734044736302,38984,2353,84336323.00,6998,17.95,50.70,-46.70
17-March-2011,2177.00,2231.50,2171.15,2187.65,2203.421060627544716105,98734,4808,217552575.00,17500,17.72,60.35,10.65
16-March-2011,2199.00,2207.75,2179.00,2184.85,2194.741426568744376791,47793,2405,104893277.00,8906,18.63,28.75,-14.15
15-March-2011,2178.00,2199.30,2130.00,2185.70,2163.217359307665635901,141319,6589,305703714.00,56061,39.67,69.30,7.70
14-March-2011,2180.00,2219.90,2172.40,2212.75,2205.311787355607999006,80510,2407,177549652.00,38439,47.74,47.50,32.75
11-March-2011,2190.60,2216.90,2175.10,2181.75,2189.343336409405772892,85607,4133,187423115.00,38407,44.86,41.80,-8.85
10-March-2011,2195.00,2215.75,2188.00,2202.15,2201.054218511862787470,87922,3411,193521089.00,34157,38.85,27.75,7.15
9-March-2011,2213.00,2238.00,2195.00,2205.60,2208.447986777649448404,100436,3342,221807682.00,29051,28.92,43.00,-7.40
8-March-2011,2176.00,2217.80,2155.30,2206.05,2203.422591781934697745,88634,3326,195298158.00,30782,34.73,62.50,30.05
7-March-2011,2195.00,2201.65,2151.15,2177.35,2172.304487083991299943,67126,2841,145818111.00,26124,38.92,50.50,-17.65
4-March-2011,2205.00,2230.00,2205.00,2218.45,2220.577800250554691863,66253,3514,147119941.00,24137,36.43,25.00,13.45
3-March-2011,2135.00,2218.90,2128.40,2193.05,2181.284152074190845440,140826,6613,307181522.00,28896,20.52,90.50,58.05
1-March-2011,2062.00,2146.00,2060.00,2136.30,2122.351578649299164660,105945,5120,224852538.00,46479,43.87,86.00,74.30
28-February-2011,2066.90,2122.00,2035.00,2049.70,2068.513620811241413534,76574,4052,158394362.00,8543,11.16,87.00,-17.20
25-February-2011,2085.00,2089.90,2021.00,2046.35,2056.539458216869987722,76562,3696,157452774.00,8749,11.43,68.90,-38.65
24-February-2011,2114.00,2116.20,2051.10,2068.75,2083.657956761339550657,58975,3046,122883728.00,14165,24.02,65.10,-45.25
23-February-2011,2131.00,2156.85,2101.00,2114.45,2133.573182511794598983,71431,3483,152403266.00,17512,24.52,55.85,-16.55
22-February-2011,2191.00,2191.00,2129.00,2143.60,2152.739222690768445650,74462,3159,160297268.00,23699,31.83,62.00,-47.40
21-February-2011,2170.00,2206.00,2134.00,2200.70,2168.723872165281252521,49564,2641,107490630.00,7242,14.61,72.00,30.70
18-February-2011,2193.00,2245.00,2160.00,2172.65,2215.050367623403894409,170963,6307,378691656.00,82705,48.38,85.00,-20.35
17-February-2011,2105.95,2191.00,2098.00,2183.80,2163.596362751986164405,111018,5078,240198141.00,36070,32.49,93.00,77.85
16-February-2011,2091.00,2116.15,2086.00,2096.80,2097.486146979116849992,31365,1856,65787653.00,7625,24.31,30.15,5.80
15-February-2011,2116.00,2125.00,2078.00,2111.30,2107.502659750872212567,75383,3748,158869873.00,18157,24.09,47.00,-4.70
14-February-2011,2065.00,2114.80,2065.00,2107.70,2092.119933793584075614,45917,2543,96063871.00,11337,24.69,49.80,42.70
11-February-2011,2020.00,2065.80,2010.00,2060.80,2037.367756596389344779,55447,2829,112965930.00,10977,19.80,55.80,40.80
10-February-2011,2001.25,2046.70,2001.25,2019.30,2025.995537936123839434,58269,3123,118052734.00,11582,19.88,45.45,18.05
9-February-2011,1999.90,2045.00,1980.00,2021.90,2013.203577438886864796,57639,3644,116039041.00,9604,16.66,65.00,22.00
8-February-2011,2036.00,2055.95,1985.05,2004.10,2011.760072541244298880,73889,3169,148646940.00,26780,36.24,70.90,-31.90
7-February-2011,2045.00,2061.20,2020.20,2039.10,2045.972783306319966073,172137,3797,352187617.00,119042,69.16,41.00,-5.90
4-February-2011,2049.20,2084.50,2008.00,2019.35,2040.931925642046585705,80368,3463,164025617.00,29012,36.10,76.50,-29.85
3-February-2011,2021.10,2068.25,2009.00,2060.90,2050.461708122031715366,62115,3494,127364429.00,12759,20.54,59.25,39.80
2-February-2011,2064.00,2065.75,2004.00,2018.05,2046.009018461615328886,280203,4393,573297865.00,217772,77.72,61.75,-45.95
1-February-2011,2059.80,2066.60,2016.50,2040.10,2041.665489725301885460,99127,4068,202384175.00,31880,32.16,50.10,-19.70
31-January-2011,2039.80,2059.80,1997.00,2042.85,2021.376082908266537122,98808,5921,199728128.00,24848,25.15,62.80,3.05
28-January-2011,2060.00,2089.00,2045.00,2058.35,2064.047820673976194915,166267,6964,343183039.00,43974,26.45,44.00,-1.65
27-January-2011,2103.00,2103.00,2040.00,2052.15,2077.983075725957627418,113092,6622,235003262.00,19426,17.18,63.00,-50.85
25-January-2011,2152.00,2174.70,2072.00,2087.00,2119.036974816552292502,189291,7031,401114628.00,54083,28.57,102.70,-65.00
24-January-2011,2109.00,2153.00,2075.00,2148.25,2118.045887547710433750,93533,5383,198107186.00,12222,13.07,78.00,39.25
21-January-2011,2111.00,2124.00,2080.05,2098.65,2100.210581226148312879,72846,3325,152991940.00,12346,16.95,43.95,-12.35
20-January-2011,2073.00,2132.85,2052.00,2118.00,2091.183026219786702268,64417,2935,134707737.00,9844,15.28,80.85,45.00
19-January-2011,2115.00,2115.00,2063.00,2077.60,2081.497934203612310291,97057,3510,202023945.00,33736,34.76,52.00,-37.40
18-January-2011,2081.05,2119.00,2048.00,2108.75,2089.455730893338637669,90492,5068,189079028.00,17607,19.46,71.00,27.70
17-January-2011,2050.00,2090.00,2045.00,2075.30,2071.089790770994554313,87225,3767,180650807.00,19552,22.42,45.00,25.30
